Business Analytics Must,Business Analytics Electives,Innovation Must,Innovation Electives,Business Economics Must,Business Economics Electives ,Human Capital Must,Human Capital Electives,Finance Must,Finance Electives,Marketing Must,Marketing Electives,Supply Chain Must,Supply Chain Electives
DBA3702,DBA3701,BSN3701,BSN3703,BSE3702,BSE3701,MNO3701,MNO3711,FIN3701,FIN3711,MKT3701,MKT3711,DOS3701,DOS3702
DBA3803,DBA3711,BSN3702,BSN3711,BSE3703,BSE3711,MNO3702,MNO3712,FIN3702,FIN3712,MKT3702,MKT3714,DOS3703,DOS3712
IT3010,DBA3712,,BSN3712,,BSE3712,MNO3703,MNO3713,FIN3703,FIN3713,,MKT3715,DOS3704,DOS3713
,DBA3713,,BSN3713,,BSE3751,,MNO3714,,FIN3714,,MKT3716,,DOS3714
,DBA3751,,BSN3714,,BSE3761,,MNO3715,,FIN3715,,MKT3717,,DOS3751
,DBA3752,,BSN3715,,BSE3761A,,MNO3716,,FIN3716,,MKT3718,,DOS3752
,DBA3761,,BSN3716,,BSE4711,,MNO3751,,FIN3717,,MKT3720,,DOS3761
,DBA4711,,BSN3717,,BSE4712,,MNO3752,,FIN3718,,MKT3722,,DOS3811
,DBA4712,,BSN3751,,BSE4751,,MNO3761,,FIN3719,,MKT3761A,,DOS4711
,DBA4751,,BSN3811,,BSE4761,,MNO3761A,,FIN3720,,MKT3723,,DOS4712
,DBA4752,,BSN4711,,BSN4811,,MNO3761B,,FIN3721,,MKT3761D,,DOS4714
,DBA4761,,BSN4712,,BSN4811A,,MNO3761C,,FIN3751,,MKT3724,,DOS4751
,DBA4811,,BSN4751,,DBA3702,,MNO3811,,FIN3752,,MKT3751,,DOS4752
,DBA4812,,BSN4811,,DBA3803,,BSN3811,,FIN3761,,MKT3752,,DOS4761
,DBA4761A,,BSN4811A,,DBA4811,,MNO4711,,FIN3761A,,MKT3761,,DOS4811
,DBA4813,,MNO3811,,DOS4811,,MNO4712,,FIN3761B,,MKT3761B,,DOS4812
,DOS3811,,MNO4761C,,DOS4812,,MNO4713,,FIN3761C,,MKT3761C,,DBA3701
,DOS4811,,MNO4861C,,MKT3812,,MNO4714,,FIN3761D,,MKT3761E,,DBA3711
,MKT3811,,TR3001,,MKT4811,,MNO4715**,,FIN4711,,MKT3811,,DBA3712
,MKT4812,,,,MNO4711,,MNO4716*,,FIN4712,,MKT3812,,DBA4811
,IE4214,,,,EC3322,,MNO4717**,,FIN4713,,MKT4714,,DBA4812
,IS3221,,,,EC3332,,MNO4751,,FIN4714,,MKT4716,,DBA4761A
,IS4241,,,,EC3373,,MNO4752,,FIN4715,,MKT4761E,,DBA4813
,BT4212,,,,EC3375,,MNO4761,,FIN4716,,MKT4719,,IE4214
,BT4222,,,,EC3378,,MNO4761A,,FIN4717,,MKT4761G,,
,,,,,EC3394,,MNO4761B,,FIN4718,,MKT4720,,
,,,,,EC3396,,MNO4761C,,FIN4719,,MKT4761B,,
,,,,,,,MNO4761D,,FIN4720,,MKT4721 ,,
,,,,,,,MNO4861C,,FIN4721,,MKT4761D,,
,,,,,,,,,FIN4722,,MKT4722,,
,,,,,,,,,FIN4751,,MKT4723*,,
,,,,,,,,,FIN4752,,MKT4751,,
,,,,,,,,,FIN4761,,MKT4752,,
,,,,,,,,,FIN4761A,,MKT4761,,
,,,,,,,,,FIN4761B,,MKT4761A,,
,,,,,,,,,FIN4761C,,MKT4761C,,
,,,,,,,,,FIN4761D,,MKT4761F,,
,,,,,,,,,,,MKT4811,,
,,,,,,,,,,,MKT4812,,